policy_id,customer_id,policy_type,policy_start_date,policy_end_date,premium_amount,policy_status,batch_id,load_timestamp
POL03166,CUST00733,Auto,2025-10-29,2027-10-29,4278.68,Cancelled,batch_002,2026-08-02T17:51:10
POL04291,CUST01033,Home,2026-07-18,2028-07-17,2826.47,Cancelled,batch_002,2026-08-02T17:51:10
POL03657,CUST01502,Life,2021-09-06,2023-09-06,678.89,Cancelled,batch_002,2026-08-02T17:51:10
POL02766,CUST00512,Life,2025-08-17,2028-08-16,3987.74,Cancelled,batch_002,2026-08-02T17:51:10
POL04269,CUST00793,Health,2025-05-06,2027-05-06,2057.44,Cancelled,batch_002,2026-08-02T17:51:10
POL03400,CUST01639,Health,2025-08-03,2028-08-02,2651.57,Cancelled,batch_002,2026-08-02T17:51:10
POL04350,CUST01780,Auto,2025-05-14,2028-05-13,4114.30,Active,batch_002,2026-08-02T17:51:10
POL01088,CUST00273,Life,2023-01-26,2026-01-25,3314.51,Cancelled,batch_002,2026-08-02T17:51:10
POL02386,CUST01590,Life,2022-04-01,2023-04-01,2671.51,Active,batch_002,2026-08-02T17:51:10
POL00471,CUST00063,Home,2025-05-02,2027-05-02,1655.30,Lapsed,batch_002,2026-08-02T17:51:10
POL02928,CUST01877,Auto,2026-06-13,2028-06-12,3850.04,Cancelled,batch_002,2026-08-02T17:51:10
POL00585,CUST01237,Home,2021-10-21,2022-10-21,4390.77,Lapsed,batch_002,2026-08-02T17:51:10
POL03398,CUST01549,Home,2023-12-19,2024-12-18,2382.47,Cancelled,batch_002,2026-08-02T17:51:10
POL03135,CUST01761,Home,2024-03-16,2027-03-16,1253.34,Active,batch_002,2026-08-02T17:51:10
POL02891,CUST00086,Life,2026-03-13,2027-03-13,3029.50,Lapsed,batch_002,2026-08-02T17:51:10
POL02092,CUST00234,Home,2024-07-06,2025-07-06,2060.59,Cancelled,batch_002,2026-08-02T17:51:10
POL02664,CUST00644,Health,2024-12-10,2025-12-10,4488.63,Active,batch_002,2026-08-02T17:51:10
POL00873,CUST01409,Home,2022-12-11,2025-12-10,3758.87,Cancelled,batch_002,2026-08-02T17:51:10
POL01261,CUST00004,Auto,2024-03-27,2026-03-27,3381.22,Lapsed,batch_002,2026-08-02T17:51:10
POL01435,CUST00185,Home,2023-01-31,2024-01-31,1658.18,Lapsed,batch_002,2026-08-02T17:51:10
POL02103,CUST01733,Health,2023-04-18,2024-04-17,1364.53,Lapsed,batch_002,2026-08-02T17:51:10
POL02479,CUST00950,Home,2023-06-09,2024-06-08,212.82,Active,batch_002,2026-08-02T17:51:10
POL02131,CUST01097,Health,2024-01-08,2025-01-07,2636.29,Lapsed,batch_002,2026-08-02T17:51:10
POL00563,CUST01183,Home,2025-08-19,2027-08-19,1279.25,Lapsed,batch_002,2026-08-02T17:51:10
POL04197,CUST01836,Life,2023-11-27,2025-11-26,3148.08,Cancelled,batch_002,2026-08-02T17:51:10
POL04823,CUST01031,Home,2025-12-10,2026-12-10,4352.15,Active,batch_002,2026-08-02T17:51:10
POL03870,CUST00580,Home,2025-02-02,2028-02-02,806.81,Lapsed,batch_002,2026-08-02T17:51:10
POL02426,CUST01301,Life,2025-07-16,2027-07-16,2341.24,Lapsed,batch_002,2026-08-02T17:51:10
POL00041,CUST00780,Auto,2025-06-26,2027-06-26,4075.99,Active,batch_002,2026-08-02T17:51:10
POL01178,CUST01111,Home,2022-08-25,2024-08-24,687.49,Active,batch_002,2026-08-02T17:51:10
POL01653,CUST00689,Home,2025-02-13,2027-02-13,4514.23,Active,batch_002,2026-08-02T17:51:10
POL01652,CUST02050,Home,2026-06-06,2027-06-06,1749.94,Active,batch_002,2026-08-02T17:51:10
POL04336,CUST01394,Life,2023-08-26,2024-08-25,2754.88,Cancelled,batch_002,2026-08-02T17:51:10
POL03331,CUST00081,Health,2024-09-28,2025-09-28,3470.46,Cancelled,batch_002,2026-08-02T17:51:10
POL04378,CUST01209,Home,2022-03-14,2024-03-13,4587.74,Lapsed,batch_002,2026-08-02T17:51:10
POL03489,CUST00665,Auto,2025-10-18,2028-10-17,4544.33,Lapsed,batch_002,2026-08-02T17:51:10
POL00140,CUST01939,Health,2022-11-16,2025-11-15,3289.80,Lapsed,batch_002,2026-08-02T17:51:10
POL04199,CUST00656,Health,2024-06-29,2027-06-29,2496.52,Cancelled,batch_002,2026-08-02T17:51:10
POL01912,CUST00738,Auto,2024-09-23,2025-09-23,4410.44,Active,batch_002,2026-08-02T17:51:10
POL02608,CUST00662,Life,2024-08-21,2027-08-21,1514.47,Lapsed,batch_002,2026-08-02T17:51:10
POL03850,CUST00064,Home,2025-02-25,2028-02-25,2403.74,Active,batch_002,2026-08-02T17:51:10
POL00344,CUST00656,Auto,2022-01-03,2025-01-02,2149.81,Lapsed,batch_002,2026-08-02T17:51:10
POL00521,CUST01350,Life,2026-03-28,2029-03-27,2779.50,Active,batch_002,2026-08-02T17:51:10
POL03708,CUST01888,Home,2025-02-13,2027-02-13,1694.54,Active,batch_002,2026-08-02T17:51:10
POL00163,CUST01246,Life,2025-08-14,2026-08-14,2449.75,Lapsed,batch_002,2026-08-02T17:51:10
POL02009,CUST01424,Health,2024-02-14,2025-02-13,3326.72,Lapsed,batch_002,2026-08-02T17:51:10
POL03345,CUST00487,Auto,2021-12-09,2023-12-09,691.53,Active,batch_002,2026-08-02T17:51:10
POL01590,CUST01799,Life,2025-12-10,2026-12-10,4893.33,Active,batch_002,2026-08-02T17:51:10
POL00374,CUST01703,Life,2024-08-14,2025-08-14,958.79,Active,batch_002,2026-08-02T17:51:10
POL02444,CUST00096,Health,2024-02-02,2026-02-01,2122.86,Lapsed,batch_002,2026-08-02T17:51:10
POL02194,CUST01319,Life,2024-05-19,2026-05-19,4886.48,Active,batch_002,2026-08-02T17:51:10
POL01739,CUST00338,Health,2022-12-29,2025-12-28,564.26,Cancelled,batch_002,2026-08-02T17:51:10
POL04200,CUST01853,Life,2024-01-29,2025-01-28,1486.44,Cancelled,batch_002,2026-08-02T17:51:10
POL03369,CUST00950,Home,2026-04-05,2027-04-05,558.31,Active,batch_002,2026-08-02T17:51:10
POL00498,CUST01149,Auto,2024-12-22,2025-12-22,3266.58,Lapsed,batch_002,2026-08-02T17:51:10
POL01421,CUST01863,Auto,2026-02-02,2028-02-02,2342.76,Active,batch_002,2026-08-02T17:51:10
POL00371,CUST00125,Life,2024-03-13,2026-03-13,1314.18,Cancelled,batch_002,2026-08-02T17:51:10
POL02727,CUST00648,Auto,2021-12-14,2024-12-13,2720.98,Cancelled,batch_002,2026-08-02T17:51:10
POL00398,CUST00933,Auto,2023-04-11,2026-04-10,3957.94,Lapsed,batch_002,2026-08-02T17:51:10
POL04429,CUST01936,Auto,2021-12-06,2022-12-06,3767.57,Cancelled,batch_002,2026-08-02T17:51:10
POL04381,CUST01892,Health,2023-09-20,2026-09-19,4996.04,Lapsed,batch_002,2026-08-02T17:51:10
POL01830,CUST00292,Life,2025-08-25,2027-08-25,3277.03,Lapsed,batch_002,2026-08-02T17:51:10
POL00250,CUST00626,Life,2024-10-19,2026-10-19,4088.99,Active,batch_002,2026-08-02T17:51:10
POL04987,CUST00316,Home,2024-07-03,2027-07-03,4133.13,Cancelled,batch_002,2026-08-02T17:51:10
POL02278,CUST01821,Auto,2021-11-05,2023-11-05,363.60,Cancelled,batch_002,2026-08-02T17:51:10
POL00567,CUST01220,Auto,2024-11-22,2027-11-22,3806.46,Lapsed,batch_002,2026-08-02T17:51:10
POL01742,CUST01349,Health,2025-05-19,2026-05-19,518.69,Lapsed,batch_002,2026-08-02T17:51:10
POL02205,CUST00118,Life,2024-03-09,2026-03-09,4700.63,Cancelled,batch_002,2026-08-02T17:51:10
POL04739,CUST01440,Life,2022-08-03,2025-08-02,1732.63,Active,batch_002,2026-08-02T17:51:10
POL00100,CUST01300,Life,2025-03-22,2027-03-22,3404.37,Cancelled,batch_002,2026-08-02T17:51:10
POL04784,CUST00129,Auto,2023-08-12,2026-08-11,1199.90,Active,batch_002,2026-08-02T17:51:10
POL03550,CUST00797,Auto,2024-05-23,2025-05-23,4358.20,Cancelled,batch_002,2026-08-02T17:51:10
POL00543,CUST00472,Auto,2022-11-10,2024-11-09,414.48,Lapsed,batch_002,2026-08-02T17:51:10
POL04976,CUST01054,Life,2023-09-28,2024-09-27,4881.73,Cancelled,batch_002,2026-08-02T17:51:10
POL03897,CUST01759,Life,2022-09-05,2024-09-04,3086.82,Active,batch_002,2026-08-02T17:51:10
POL04886,CUST00233,Home,2025-09-05,2027-09-05,3412.93,Cancelled,batch_002,2026-08-02T17:51:10
POL03972,CUST01142,Home,2025-02-26,2027-02-26,1537.97,Active,batch_002,2026-08-02T17:51:10
POL04718,CUST00130,Life,2025-03-06,2027-03-06,2643.41,Cancelled,batch_002,2026-08-02T17:51:10
POL03990,CUST00058,Auto,2024-08-15,2025-08-15,3915.31,Active,batch_002,2026-08-02T17:51:10
POL01106,CUST01122,Home,2024-12-15,2026-12-15,381.18,Cancelled,batch_002,2026-08-02T17:51:10
POL02235,CUST01841,Home,2026-03-27,2029-03-26,1790.85,Lapsed,batch_002,2026-08-02T17:51:10
POL02758,CUST01277,Home,2024-07-16,2026-07-16,3600.04,Cancelled,batch_002,2026-08-02T17:51:10
POL01253,CUST01133,Life,2025-06-01,2027-06-01,1660.64,Active,batch_002,2026-08-02T17:51:10
POL04549,CUST00811,Life,2021-12-02,2023-12-02,1287.87,Lapsed,batch_002,2026-08-02T17:51:10
POL02202,CUST01640,Home,2022-02-08,2025-02-07,1174.50,Active,batch_002,2026-08-02T17:51:10
POL00898,CUST01543,Life,2025-05-03,2028-05-02,2936.77,Cancelled,batch_002,2026-08-02T17:51:10
POL01719,CUST00455,Health,2025-10-18,2028-10-17,858.77,Active,batch_002,2026-08-02T17:51:10
POL02971,CUST01758,Auto,2023-11-11,2026-11-10,1865.41,Cancelled,batch_002,2026-08-02T17:51:10
POL03189,CUST00793,Health,2025-02-21,2026-02-21,1891.92,Cancelled,batch_002,2026-08-02T17:51:10
POL04993,CUST00489,Auto,2026-06-26,2027-06-26,2998.77,Cancelled,batch_002,2026-08-02T17:51:10
POL02215,CUST01606,Life,2022-09-17,2025-09-16,3635.95,Active,batch_002,2026-08-02T17:51:10
POL04315,CUST01836,Life,2025-02-11,2028-02-11,645.18,Active,batch_002,2026-08-02T17:51:10
POL00108,CUST01596,Auto,2022-05-08,2023-05-08,4197.88,Lapsed,batch_002,2026-08-02T17:51:10
POL02448,CUST01527,Auto,2023-07-14,2025-07-13,3692.28,Lapsed,batch_002,2026-08-02T17:51:10
POL02604,CUST00919,Home,2022-05-10,2025-05-09,1422.12,Active,batch_002,2026-08-02T17:51:10
POL00347,CUST00629,Life,2023-12-06,2026-12-05,787.19,Cancelled,batch_002,2026-08-02T17:51:10
POL03802,CUST01631,Home,2024-06-08,2026-06-08,2947.05,Cancelled,batch_002,2026-08-02T17:51:10
POL01677,CUST00522,Health,2026-07-11,2027-07-11,3780.67,Cancelled,batch_002,2026-08-02T17:51:10
POL02900,CUST01231,Life,2023-09-07,2026-09-06,4623.57,Active,batch_002,2026-08-02T17:51:10
POL03094,CUST00830,Home,2021-09-19,2024-09-18,390.83,Lapsed,batch_002,2026-08-02T17:51:10
POL04032,CUST00857,Health,2024-05-16,2026-05-16,4673.08,Cancelled,batch_002,2026-08-02T17:51:10
POL02451,CUST00343,Auto,2023-09-01,2024-08-31,2238.53,Cancelled,batch_002,2026-08-02T17:51:10
POL04174,CUST00932,Life,2025-06-20,2027-06-20,1926.85,Active,batch_002,2026-08-02T17:51:10
POL00117,CUST00336,Life,2025-07-23,2027-07-23,1410.90,Active,batch_002,2026-08-02T17:51:10
POL04695,CUST00047,Auto,2026-03-15,2029-03-14,4508.29,Cancelled,batch_002,2026-08-02T17:51:10
POL02637,CUST00615,Health,2023-01-07,2025-01-06,2665.38,Cancelled,batch_002,2026-08-02T17:51:10
POL04082,CUST00355,Life,2023-09-10,2026-09-09,2141.55,Cancelled,batch_002,2026-08-02T17:51:10
POL01825,CUST01858,Health,2022-09-06,2024-09-05,544.67,Lapsed,batch_002,2026-08-02T17:51:10
POL02058,CUST00055,Health,2024-05-04,2027-05-04,1294.05,Active,batch_002,2026-08-02T17:51:10
POL00155,CUST00407,Home,2026-05-27,2029-05-26,489.11,Lapsed,batch_002,2026-08-02T17:51:10
POL02759,CUST00274,Auto,2024-03-25,2027-03-25,2501.66,Cancelled,batch_002,2026-08-02T17:51:10
POL04789,CUST01129,Auto,2024-12-21,2027-12-21,3585.12,Active,batch_002,2026-08-02T17:51:10
POL04494,CUST00709,Home,2025-07-07,2026-07-07,2430.31,Cancelled,batch_002,2026-08-02T17:51:10
POL00370,CUST01085,Home,2021-12-06,2022-12-06,3531.18,Cancelled,batch_002,2026-08-02T17:51:10
POL01150,CUST02039,Life,2025-02-08,2028-02-08,2582.71,Lapsed,batch_002,2026-08-02T17:51:10
POL03541,CUST00003,Life,2024-06-13,2027-06-13,3732.53,Cancelled,batch_002,2026-08-02T17:51:10
POL00009,CUST01551,Auto,2022-04-26,2023-04-26,3039.16,Cancelled,batch_002,2026-08-02T17:51:10
POL01382,CUST01459,Auto,2024-08-03,2026-08-03,4325.26,Cancelled,batch_002,2026-08-02T17:51:10
POL02056,CUST01706,Home,2023-05-05,2024-05-04,569.91,Lapsed,batch_002,2026-08-02T17:51:10
POL01206,CUST00034,Life,2022-01-08,2024-01-08,3257.23,Active,batch_002,2026-08-02T17:51:10
POL00363,CUST00529,Life,2021-11-18,2024-11-17,3899.12,Cancelled,batch_002,2026-08-02T17:51:10
POL01911,CUST00509,Home,2022-09-09,2025-09-08,4097.16,Cancelled,batch_002,2026-08-02T17:51:10
POL00738,CUST01252,Health,2026-01-14,2029-01-13,4064.41,Cancelled,batch_002,2026-08-02T17:51:10
POL02899,CUST00579,Life,2022-06-13,2024-06-12,1224.87,Cancelled,batch_002,2026-08-02T17:51:10
POL04346,CUST01345,Health,2025-12-21,2027-12-21,2960.66,Lapsed,batch_002,2026-08-02T17:51:10
POL04920,CUST00291,Health,2022-06-08,2025-06-07,3008.68,Cancelled,batch_002,2026-08-02T17:51:10
POL01147,CUST00360,Life,2025-02-21,2028-02-21,759.56,Cancelled,batch_002,2026-08-02T17:51:10
POL02721,CUST01718,Home,2026-02-22,2028-02-22,2194.96,Active,batch_002,2026-08-02T17:51:10
POL04265,CUST01248,Auto,2022-01-13,2025-01-12,4944.62,Lapsed,batch_002,2026-08-02T17:51:10
POL02297,CUST00395,Home,2026-01-28,2027-01-28,3078.96,Active,batch_002,2026-08-02T17:51:10
POL00144,CUST01160,Auto,2026-02-01,2029-01-31,2524.15,Lapsed,batch_002,2026-08-02T17:51:10
POL03840,CUST01143,Health,2022-08-31,2023-08-31,216.84,Lapsed,batch_002,2026-08-02T17:51:10
POL01567,CUST01192,Auto,2025-04-28,2028-04-27,207.18,Lapsed,batch_002,2026-08-02T17:51:10
POL02558,CUST01373,Health,2024-02-14,2026-02-13,3948.82,Cancelled,batch_002,2026-08-02T17:51:10
POL01259,CUST01809,Health,2025-02-11,2028-02-11,3288.02,Active,batch_002,2026-08-02T17:51:10
POL00335,CUST01463,Auto,2023-11-23,2026-11-22,1117.30,Active,batch_002,2026-08-02T17:51:10
POL01863,CUST01320,Auto,2023-09-16,2024-09-15,845.25,Cancelled,batch_002,2026-08-02T17:51:10
