claim_id,policy_id,claim_date,claim_amount,claim_status,claim_reason,batch_id,load_timestamp
CLM007001,POL01541,2023-07-10,19957.43,Pending,Vehicle collision,batch_002,2026-08-05T00:00:00
CLM007002,POL00915,2024-05-03,3641.68,Pending,Theft of vehicle,batch_002,2026-08-05T00:00:00
CLM007003,POL04720,2023-10-18,826.89,Approved,Hit and run,batch_002,2026-08-05T00:00:00
CLM007004,POL02933,2025-05-12,4697.80,Denied,Surgery reimbursement,batch_002,2026-08-05T00:00:00
CLM007005,POL01221,2024-11-20,13828.88,Pending,Terminal illness claim,batch_002,2026-08-05T00:00:00
CLM007006,POL01501,2024-11-22,20172.50,Denied,Water damage,batch_002,2026-08-05T00:00:00
CLM007007,POL00419,2025-06-23,13136.96,Denied,Fire damage,batch_002,2026-08-05T00:00:00
CLM007008,POL04330,2024-10-21,4891.73,Pending,Accidental death claim,batch_002,2026-08-05T00:00:00
CLM007009,POL02868,2026-03-30,8779.18,Denied,Vehicle collision,batch_002,2026-08-05T00:00:00
CLM007010,POL02127,2024-05-06,15834.83,Denied,Death benefit claim,batch_002,2026-08-05T00:00:00
CLM007011,POL04945,2024-01-29,20612.55,Pending,Vehicle collision,batch_002,2026-08-05T00:00:00
CLM007012,POL04790,2024-02-20,5880.54,Approved,Vehicle collision,batch_002,2026-08-05T00:00:00
CLM007013,POL03905,2023-02-10,22556.74,Denied,Surgery reimbursement,batch_002,2026-08-05T00:00:00
CLM007014,POL02929,2024-06-10,7885.35,Pending,Windshield damage,batch_002,2026-08-05T00:00:00
CLM007015,POL03718,2023-08-05,17493.59,Denied,Fire damage,batch_002,2026-08-05T00:00:00
CLM007016,POL03883,2026-03-24,4743.28,Approved,Burglary,batch_002,2026-08-05T00:00:00
CLM007017,POL03733,2024-08-27,5074.93,Denied,Theft of vehicle,batch_002,2026-08-05T00:00:00
CLM007018,POL03157,2023-08-18,2477.16,Approved,Vehicle collision,batch_002,2026-08-05T00:00:00
CLM007019,POL02601,2025-07-12,20778.34,Denied,Terminal illness claim,batch_002,2026-08-05T00:00:00
CLM007020,POL01367,2025-09-11,19050.16,Denied,Death benefit claim,batch_002,2026-08-05T00:00:00
CLM007021,POL01424,2025-09-12,18856.11,Approved,Hospital stay,batch_002,2026-08-05T00:00:00
CLM007022,POL02110,2025-11-21,13190.40,Pending,Burglary,batch_002,2026-08-05T00:00:00
CLM007023,POL03214,2023-08-08,4078.62,Pending,Fallen tree damage,batch_002,2026-08-05T00:00:00
CLM007024,POL00486,2023-04-13,14318.40,Approved,Accidental death claim,batch_002,2026-08-05T00:00:00
CLM007025,POL03535,2026-03-01,6088.42,Approved,Vandalism damage,batch_002,2026-08-05T00:00:00
CLM007026,POL04897,2025-09-04,8467.08,Approved,Hit and run,batch_002,2026-08-05T00:00:00
CLM007027,POL04048,2024-08-03,23531.52,Denied,Surgery reimbursement,batch_002,2026-08-05T00:00:00
CLM007028,POL00267,2024-07-01,17835.70,Pending,Hospital stay,batch_002,2026-08-05T00:00:00
CLM007029,POL04835,2023-03-14,3656.68,Approved,Hit and run,batch_002,2026-08-05T00:00:00
CLM007030,POL03611,2026-01-30,5766.34,Approved,Fire damage,batch_002,2026-08-05T00:00:00
CLM007031,POL01764,2026-05-20,7081.89,Approved,Fallen tree damage,batch_002,2026-08-05T00:00:00
CLM007032,POL04556,2025-08-07,13311.76,Approved,Terminal illness claim,batch_002,2026-08-05T00:00:00
CLM007033,POL04114,2025-07-04,8669.49,Approved,Theft of vehicle,batch_002,2026-08-05T00:00:00
CLM007034,POL01248,2025-04-28,1523.89,Denied,Vandalism damage,batch_002,2026-08-05T00:00:00
CLM007035,POL01985,2023-04-19,7514.72,Approved,Emergency room visit,batch_002,2026-08-05T00:00:00
CLM007036,POL04530,2025-06-16,4475.04,Pending,Fire damage,batch_002,2026-08-05T00:00:00
CLM007037,POL00878,2023-12-01,6233.28,Approved,Prescription claim,batch_002,2026-08-05T00:00:00
CLM007038,POL02964,2026-02-18,19201.01,Denied,Hit and run,batch_002,2026-08-05T00:00:00
CLM007039,POL03823,2026-02-17,4701.65,Pending,Medical procedure,batch_002,2026-08-05T00:00:00
CLM007040,POL00903,2023-05-07,7390.83,Approved,Roof damage from storm,batch_002,2026-08-05T00:00:00
CLM007041,POL02120,2023-08-10,4932.65,Approved,Hospital stay,batch_002,2026-08-05T00:00:00
CLM007042,POL01664,2024-08-14,16207.73,Approved,Hit and run,batch_002,2026-08-05T00:00:00
CLM007043,POL05039,2025-11-27,9375.55,Approved,Water damage,batch_002,2026-08-05T00:00:00
CLM007044,POL01285,2024-10-05,16645.36,Pending,Hit and run,batch_002,2026-08-05T00:00:00
CLM007045,POL03963,2026-03-19,3055.69,Pending,Death benefit claim,batch_002,2026-08-05T00:00:00
CLM007046,POL02628,2023-07-26,10259.21,Pending,Accidental death claim,batch_002,2026-08-05T00:00:00
CLM007047,POL00940,2026-04-02,23723.22,Denied,Accidental death claim,batch_002,2026-08-05T00:00:00
CLM007048,POL01037,2025-12-13,9806.69,Denied,Water damage,batch_002,2026-08-05T00:00:00
CLM007049,POL03703,2024-06-17,5419.37,Approved,Fallen tree damage,batch_002,2026-08-05T00:00:00
CLM007050,POL00914,2023-10-14,21062.14,Approved,Accidental death claim,batch_002,2026-08-05T00:00:00
CLM007051,POL05034,2024-05-13,2176.19,Approved,Vandalism damage,batch_002,2026-08-05T00:00:00
CLM007052,POL04008,2023-06-02,20520.41,Approved,Fire damage,batch_002,2026-08-05T00:00:00
CLM007053,POL00803,2023-03-01,13793.63,Denied,Vandalism damage,batch_002,2026-08-05T00:00:00
CLM007054,POL00619,2024-03-17,19692.47,Denied,Death benefit claim,batch_002,2026-08-05T00:00:00
CLM007055,POL03773,2023-10-24,10935.22,Denied,Death benefit claim,batch_002,2026-08-05T00:00:00
CLM007056,POL00221,2026-05-10,9038.72,Pending,Accidental death claim,batch_002,2026-08-05T00:00:00
CLM007057,POL03697,2025-01-23,12234.36,Denied,Surgery reimbursement,batch_002,2026-08-05T00:00:00
CLM007058,POL02837,2023-02-28,18538.08,Pending,Medical procedure,batch_002,2026-08-05T00:00:00
CLM007059,POL03057,2023-06-10,1506.34,Denied,Surgery reimbursement,batch_002,2026-08-05T00:00:00
CLM007060,POL00419,2023-09-26,357.77,Approved,Water damage,batch_002,2026-08-05T00:00:00
CLM007061,POL01073,2024-03-12,19425.23,Denied,Accidental death claim,batch_002,2026-08-05T00:00:00
CLM007062,POL04266,2023-09-19,6176.49,Denied,Vandalism damage,batch_002,2026-08-05T00:00:00
CLM007063,POL05022,2026-06-01,951.96,Approved,Surgery reimbursement,batch_002,2026-08-05T00:00:00
CLM007064,POL02837,2026-01-14,22024.39,Approved,Hospital stay,batch_002,2026-08-05T00:00:00
CLM007065,POL02591,2026-02-22,12624.67,Denied,Terminal illness claim,batch_002,2026-08-05T00:00:00
CLM007066,POL00387,2024-11-05,6019.72,Approved,Surgery reimbursement,batch_002,2026-08-05T00:00:00
CLM007067,POL00070,2023-02-26,19543.69,Approved,Theft of vehicle,batch_002,2026-08-05T00:00:00
CLM007068,POL03344,2024-12-26,17152.62,Denied,Roof damage from storm,batch_002,2026-08-05T00:00:00
CLM007069,POL02438,2023-02-20,1813.30,Pending,Windshield damage,batch_002,2026-08-05T00:00:00
CLM007070,POL01967,2023-12-14,19741.31,Pending,Fallen tree damage,batch_002,2026-08-05T00:00:00
CLM007071,POL00789,2023-10-15,1211.87,Approved,Hospital stay,batch_002,2026-08-05T00:00:00
CLM007072,POL01083,2024-01-16,11215.54,Approved,Water damage,batch_002,2026-08-05T00:00:00
CLM007073,POL02569,2023-07-05,6167.74,Denied,Prescription claim,batch_002,2026-08-05T00:00:00
CLM007074,POL00493,2025-05-08,2603.70,Denied,Windshield damage,batch_002,2026-08-05T00:00:00
CLM007075,POL01220,2024-05-02,172.76,Approved,Accidental death claim,batch_002,2026-08-05T00:00:00
CLM007076,POL04481,2023-06-17,9105.39,Approved,Windshield damage,batch_002,2026-08-05T00:00:00
CLM007077,POL00259,2024-04-06,19296.61,Pending,Emergency room visit,batch_002,2026-08-05T00:00:00
CLM007078,POL00630,2026-06-09,22048.95,Pending,Terminal illness claim,batch_002,2026-08-05T00:00:00
CLM007079,POL04285,2024-10-14,3126.81,Pending,Prescription claim,batch_002,2026-08-05T00:00:00
CLM007080,POL01821,2026-03-06,10441.86,Approved,Death benefit claim,batch_002,2026-08-05T00:00:00
CLM007081,POL04403,2026-05-22,14176.97,Pending,Medical procedure,batch_002,2026-08-05T00:00:00
CLM007082,POL03924,2026-07-09,24759.89,Pending,Hit and run,batch_002,2026-08-05T00:00:00
CLM007083,POL04918,2023-07-27,11699.83,Pending,Accidental death claim,batch_002,2026-08-05T00:00:00
CLM007084,POL02509,2026-07-22,16235.60,Denied,Hit and run,batch_002,2026-08-05T00:00:00
CLM007085,POL01509,2026-02-09,1249.71,Approved,Terminal illness claim,batch_002,2026-08-05T00:00:00
CLM007086,POL01061,2026-01-05,2111.73,Pending,Vehicle collision,batch_002,2026-08-05T00:00:00
CLM007087,POL00413,2023-03-31,22841.79,Denied,Water damage,batch_002,2026-08-05T00:00:00
CLM007088,POL03553,2025-12-20,6111.96,Pending,Terminal illness claim,batch_002,2026-08-05T00:00:00
CLM007089,POL00226,2023-02-13,16815.17,Pending,Roof damage from storm,batch_002,2026-08-05T00:00:00
CLM007090,POL00854,2024-05-01,4589.55,Denied,Death benefit claim,batch_002,2026-08-05T00:00:00
